# Optical constant: MgFeSiO4 (Draine2003)
# Mie theory: Miepython package
# a = 0.10 micron
# wavelength: micron
#wavelength 	 Qabs
2.254255e-03 4.288533e-01
2.258361e-03 4.390663e-01
2.262482e-03 4.708849e-01
2.266618e-03 4.948400e-01
2.270769e-03 5.230376e-01
2.272851e-03 5.339206e-01
2.274936e-03 5.207031e-01
2.279118e-03 4.843905e-01
2.283315e-03 4.605628e-01
2.287528e-03 4.640729e-01
2.291756e-03 4.752492e-01
2.296000e-03 4.972667e-01
2.300260e-03 6.060037e-01
2.304535e-03 7.105838e-01
2.306250e-03 7.278820e-01
2.307967e-03 6.992853e-01
2.309687e-03 5.951298e-01
2.311409e-03 4.694788e-01
2.313134e-03 4.040982e-01
2.314862e-03 3.529719e-01
2.316592e-03 3.050386e-01
2.318325e-03 2.708165e-01
2.320060e-03 2.531429e-01
2.321798e-03 2.396263e-01
2.326154e-03 2.308642e-01
2.330526e-03 2.124806e-01
2.334915e-03 2.082674e-01
2.339321e-03 2.088897e-01
2.343743e-03 2.046957e-01
2.345960e-03 2.001158e-01
2.348182e-03 1.806228e-01
2.349072e-03 1.705580e-01
2.361600e-03 1.724983e-01
2.384308e-03 1.760530e-01
2.479680e-03 1.913180e-01
2.583000e-03 2.082787e-01
2.695304e-03 2.272477e-01
2.817818e-03 2.484128e-01
2.952000e-03 2.721221e-01
3.099600e-03 2.985218e-01
3.262737e-03 3.281060e-01
3.444000e-03 3.612852e-01
3.646588e-03 3.979949e-01
3.874500e-03 4.386768e-01
4.132800e-03 4.835574e-01
4.275310e-03 5.074648e-01
4.428000e-03 5.323246e-01
4.592000e-03 5.581485e-01
4.768616e-03 5.845825e-01
4.959360e-03 6.117426e-01
5.166000e-03 6.393943e-01
5.390609e-03 6.672332e-01
5.635636e-03 6.951008e-01
5.904000e-03 7.225717e-01
6.199200e-03 7.493191e-01
6.358154e-03 7.623015e-01
6.525474e-03 7.745952e-01
6.701838e-03 7.869096e-01
6.888000e-03 7.999686e-01
6.965393e-03 8.057175e-01
7.044546e-03 8.125617e-01
7.084800e-03 8.158053e-01
7.101031e-03 8.168369e-01
7.125517e-03 8.176576e-01
7.166706e-03 8.189849e-01
7.208372e-03 8.209902e-01
7.250526e-03 8.230919e-01
7.293177e-03 8.235278e-01
7.336332e-03 8.244378e-01
7.380000e-03 8.267048e-01
7.424192e-03 8.290855e-01
7.468916e-03 8.326828e-01
7.514182e-03 8.357330e-01
7.560000e-03 8.390628e-01
7.583119e-03 8.407351e-01
7.606381e-03 8.410334e-01
7.653334e-03 8.414390e-01
7.700870e-03 8.420995e-01
7.749000e-03 8.439728e-01
7.797736e-03 8.461118e-01
7.847088e-03 8.487673e-01
7.867005e-03 8.507541e-01
7.887024e-03 8.535163e-01
7.907143e-03 8.573644e-01
7.927367e-03 8.606014e-01
7.947693e-03 8.638103e-01
7.968123e-03 8.660318e-01
7.988661e-03 8.651098e-01
8.009302e-03 8.601942e-01
8.030052e-03 8.555006e-01
8.050909e-03 8.537496e-01
8.103530e-03 8.517152e-01
8.156843e-03 8.520812e-01
8.210861e-03 8.534601e-01
8.265601e-03 8.546484e-01
8.321074e-03 8.563742e-01
8.377298e-03 8.578852e-01
8.434286e-03 8.595036e-01
8.492055e-03 8.606072e-01
8.503703e-03 8.608054e-01
8.550621e-03 8.619848e-01
8.856000e-03 8.695974e-01
9.184000e-03 8.760746e-01
9.537231e-03 8.873053e-01
9.611163e-03 8.903547e-01
9.686250e-03 8.938038e-01
9.762520e-03 8.983954e-01
9.840000e-03 9.042309e-01
9.918720e-03 9.091663e-01
9.950562e-03 9.106250e-01
9.998710e-03 9.102140e-01
1.016262e-02 9.106849e-01
1.033200e-02 9.073438e-01
1.041882e-02 9.040395e-01
1.050712e-02 9.052094e-01
1.059692e-02 9.070835e-01
1.068828e-02 9.125462e-01
1.078122e-02 9.174089e-01
1.087579e-02 9.236807e-01
1.097204e-02 9.266182e-01
1.101101e-02 9.256649e-01
1.107000e-02 9.233601e-01
1.116973e-02 9.200038e-01
1.127127e-02 9.201891e-01
1.137468e-02 9.216695e-01
1.148000e-02 9.224118e-01
1.158729e-02 9.351158e-01
1.169660e-02 9.545787e-01
1.174091e-02 9.636299e-01
1.180800e-02 9.645256e-01
1.192154e-02 9.383839e-01
1.203728e-02 9.204842e-01
1.215529e-02 9.133063e-01
1.227564e-02 9.114914e-01
1.239840e-02 9.082843e-01
1.252364e-02 9.069913e-01
1.265143e-02 9.072582e-01
1.278186e-02 9.075904e-01
1.291500e-02 9.057950e-01
1.294196e-02 9.048253e-01
1.305095e-02 9.069843e-01
1.318979e-02 9.114716e-01
1.324615e-02 9.132396e-01
1.333161e-02 9.121753e-01
1.347652e-02 9.072349e-01
1.362462e-02 9.055197e-01
1.377600e-02 9.054078e-01
1.393079e-02 9.059620e-01
1.408909e-02 9.064821e-01
1.425103e-02 9.072893e-01
1.441674e-02 9.081882e-01
1.458635e-02 9.091695e-01
1.476000e-02 9.099108e-01
1.479523e-02 9.099793e-01
1.493783e-02 9.106098e-01
1.512000e-02 9.114512e-01
1.530667e-02 9.123280e-01
1.549800e-02 9.132106e-01
1.569418e-02 9.140468e-01
1.589539e-02 9.148124e-01
1.610182e-02 9.155419e-01
1.631369e-02 9.162120e-01
1.653120e-02 9.164865e-01
1.675460e-02 9.190484e-01
1.686857e-02 9.205836e-01
1.698411e-02 9.208978e-01
1.722000e-02 9.206243e-01
1.746253e-02 9.211678e-01
1.771200e-02 9.232903e-01
1.796870e-02 9.222539e-01
1.823294e-02 9.200833e-01
1.850508e-02 9.204323e-01
1.878545e-02 9.217448e-01
1.907446e-02 9.241822e-01
1.910385e-02 9.245915e-01
1.940282e-02 9.275016e-01
1.971129e-02 9.315310e-01
1.986923e-02 9.342710e-01
2.002973e-02 9.351126e-01
2.035862e-02 9.333417e-01
2.069850e-02 9.308119e-01
2.104991e-02 9.298361e-01
2.119385e-02 9.296609e-01
2.133976e-02 9.297291e-01
2.148770e-02 9.295480e-01
2.163770e-02 9.286257e-01
2.178981e-02 9.282457e-01
2.194407e-02 9.292851e-01
2.210054e-02 9.317938e-01
2.225925e-02 9.380683e-01
2.242025e-02 9.451476e-01
2.258361e-02 9.536186e-01
2.274936e-02 9.637531e-01
2.291756e-02 9.716048e-01
2.308827e-02 9.696095e-01
2.326154e-02 9.601012e-01
2.343743e-02 9.527858e-01
2.361600e-02 9.478506e-01
2.384308e-02 9.420449e-01
2.431059e-02 9.348606e-01
2.479680e-02 9.321449e-01
2.530286e-02 9.301536e-01
2.583000e-02 9.290272e-01
2.637958e-02 9.290205e-01
2.695304e-02 9.294434e-01
2.755200e-02 9.294891e-01
2.773691e-02 9.286324e-01
2.817818e-02 9.284313e-01
2.952000e-02 9.296949e-01
3.099600e-02 9.319084e-01
3.262737e-02 9.346925e-01
3.444000e-02 9.380096e-01
3.646588e-02 9.417344e-01
3.874500e-02 9.452154e-01
4.132800e-02 9.452300e-01
4.275310e-02 9.478740e-01
4.428000e-02 9.540022e-01
4.592000e-02 9.605262e-01
4.768616e-02 9.668192e-01
4.959360e-02 9.725641e-01
5.166000e-02 9.769525e-01
5.390609e-02 9.782375e-01
5.635637e-02 9.745792e-01
5.904000e-02 9.714618e-01
6.199200e-02 9.790588e-01
6.525474e-02 9.980678e-01
6.888000e-02 1.025504e+00
7.293177e-02 1.059228e+00
7.749000e-02 1.096778e+00
8.265600e-02 1.141106e+00
8.856000e-02 1.165430e+00
9.116471e-02 1.169757e+00
9.322105e-02 1.177944e+00
9.537231e-02 1.186991e+00
9.762520e-02 1.196319e+00
9.999516e-02 1.205593e+00
1.024661e-01 1.215134e+00
1.050000e-01 1.227631e+00
1.078122e-01 1.241106e+00
1.109973e-01 1.254923e+00
1.148000e-01 1.270386e+00
1.180013e-01 1.282507e+00
1.215529e-01 1.295069e+00
1.249965e-01 1.306529e+00
1.278186e-01 1.315680e+00
1.305095e-01 1.324248e+00
1.333161e-01 1.333050e+00
1.362461e-01 1.341936e+00
1.389955e-01 1.349698e+00
1.408909e-01 1.354517e+00
1.425104e-01 1.358194e+00
1.441674e-01 1.362208e+00
1.458635e-01 1.367234e+00
1.490013e-01 1.379585e+00
1.549800e-01 1.408002e+00
1.600000e-01 1.418260e+00
1.653120e-01 1.417392e+00
1.700041e-01 1.411604e+00
1.800000e-01 1.239149e+00
1.899847e-01 1.011718e+00
2.000065e-01 7.055880e-01
2.100000e-01 6.393321e-01
2.137655e-01 6.312081e-01
2.175158e-01 5.826410e-01
2.190143e-01 5.524682e-01
2.214000e-01 5.003328e-01
2.254255e-01 4.266568e-01
2.299833e-01 3.790535e-01
2.339321e-01 3.596046e-01
2.384308e-01 3.542298e-01
2.400000e-01 3.553446e-01
2.500181e-01 3.845040e-01
2.583000e-01 4.099037e-01
2.739978e-01 3.979477e-01
2.850207e-01 3.435292e-01
2.917271e-01 3.121133e-01
3.099600e-01 2.621710e-01
3.262737e-01 2.514256e-01
3.440177e-01 2.572137e-01
3.649809e-01 2.633490e-01
3.814892e-01 2.562638e-01
3.999484e-01 2.361471e-01
4.339657e-01 1.902076e-01
4.399716e-01 1.830309e-01
4.860212e-01 1.412948e-01
5.500621e-01 1.093254e-01
6.563473e-01 8.074329e-02
7.000791e-01 7.285253e-02
7.998968e-01 5.938536e-02
8.997388e-01 4.995211e-02
9.998710e-01 4.304282e-02
1.127127e+00 3.668761e-02
1.239840e+00 3.249109e-02
1.249965e+00 3.218035e-02
1.305095e+00 3.058934e-02
1.377600e+00 2.876398e-02
1.458635e+00 2.699392e-02
1.549800e+00 2.528385e-02
1.650040e+00 2.365558e-02
1.771200e+00 2.200434e-02
1.907446e+00 2.051950e-02
2.066400e+00 1.909360e-02
2.121924e+00 1.865342e-02
2.199858e+00 1.809539e-02
2.254255e+00 1.772808e-02
2.423930e+00 1.670815e-02
2.479680e+00 1.641019e-02
2.755200e+00 1.516344e-02
3.099600e+00 1.398271e-02
3.262737e+00 1.358213e-02
3.401482e+00 1.323570e-02
3.646588e+00 1.264064e-02
3.874500e+00 1.214898e-02
4.132800e+00 1.166414e-02
4.428000e+00 1.112552e-02
4.768616e+00 1.065548e-02
4.999355e+00 1.043861e-02
5.166000e+00 1.032821e-02
5.510400e+00 1.025594e-02
5.635636e+00 1.027586e-02
5.904000e+00 1.039997e-02
6.199200e+00 1.060882e-02
6.358154e+00 1.068041e-02
6.525474e+00 1.071088e-02
6.701838e+00 1.071391e-02
6.911037e+00 1.070118e-02
7.084800e+00 1.081717e-02
7.293177e+00 1.150778e-02
7.514182e+00 1.395991e-02
7.749001e+00 2.080097e-02
7.998968e+00 3.430596e-02
8.265600e+00 5.552058e-02
8.377297e+00 6.374532e-02
8.492055e+00 7.094620e-02
8.610001e+00 7.806497e-02
8.731268e+00 8.652116e-02
8.856000e+00 9.706821e-02
8.984348e+00 1.093148e-01
9.116470e+00 1.217799e-01
9.252538e+00 1.319852e-01
9.392728e+00 1.376890e-01
9.537231e+00 1.381852e-01
9.663602e+00 1.353431e-01
9.686250e+00 1.346471e-01
9.840000e+00 1.295521e-01
9.998710e+00 1.247820e-01
1.016262e+01 1.205369e-01
1.033200e+01 1.154734e-01
1.050712e+01 1.076288e-01
1.068828e+01 9.829453e-02
1.087579e+01 9.015643e-02
1.107000e+01 8.333746e-02
1.127127e+01 7.657786e-02
1.148000e+01 7.050572e-02
1.169660e+01 6.509716e-02
1.192154e+01 5.925745e-02
1.215529e+01 5.359629e-02
1.227564e+01 5.115497e-02
1.239840e+01 4.884957e-02
1.265143e+01 4.419051e-02
1.291500e+01 3.972975e-02
1.318979e+01 3.605765e-02
1.347652e+01 3.266420e-02
1.377600e+01 2.990281e-02
1.408909e+01 2.862662e-02
1.441674e+01 2.901187e-02
1.476000e+01 3.060803e-02
1.499928e+01 3.191164e-02
1.512000e+01 3.258711e-02
1.549800e+01 3.496915e-02
1.589538e+01 3.766155e-02
1.631368e+01 4.056521e-02
1.675459e+01 4.348063e-02
1.722000e+01 4.595462e-02
1.771200e+01 4.788456e-02
1.823294e+01 4.861201e-02
1.878546e+01 4.808745e-02
1.937250e+01 4.608363e-02
2.000065e+01 4.294653e-02
2.032525e+01 4.118332e-02
2.066400e+01 3.974249e-02
2.101424e+01 3.828235e-02
2.137655e+01 3.680038e-02
2.175158e+01 3.547868e-02
2.214000e+01 3.416367e-02
2.254255e+01 3.266935e-02
2.296000e+01 3.133340e-02
2.339321e+01 3.017121e-02
2.384308e+01 2.893208e-02
2.431059e+01 2.778368e-02
2.479680e+01 2.668099e-02
2.499677e+01 2.620002e-02
2.755200e+01 2.123324e-02
2.999855e+01 1.775108e-02
3.350919e+01 1.410134e-02
3.757091e+01 1.129767e-02
4.132800e+01 9.305039e-03
4.508509e+01 7.761550e-03
4.999355e+01 6.242601e-03
5.166000e+01 5.824435e-03
5.390609e+01 5.322020e-03
5.635637e+01 4.839001e-03
5.904000e+01 4.379912e-03
6.199200e+01 3.946097e-03
6.358154e+01 3.736823e-03
6.525474e+01 3.535373e-03
6.701838e+01 3.338966e-03
6.888000e+01 3.147654e-03
7.000790e+01 3.041509e-03
7.084800e+01 2.963604e-03
7.293176e+01 2.786848e-03
7.514182e+01 2.615176e-03
7.749000e+01 2.448634e-03
7.998968e+01 2.289226e-03
8.265601e+01 2.135110e-03
8.550621e+01 1.987406e-03
8.856000e+01 1.845150e-03
9.184000e+01 1.709554e-03
9.537231e+01 1.578930e-03
9.998710e+01 1.430153e-03
1.033200e+02 1.335671e-03
1.127127e+02 1.114910e-03
1.180800e+02 1.012074e-03
1.239840e+02 9.150686e-04
1.350000e+02 7.675540e-04
1.499927e+02 6.185040e-04
1.749951e+02 4.516001e-04
2.000065e+02 3.440240e-04
2.250163e+02 2.705791e-04
2.400000e+02 2.374649e-04
2.479680e+02 2.215437e-04
2.500182e+02 2.175454e-04
2.599790e+02 1.983273e-04
2.749701e+02 1.736950e-04
2.999855e+02 1.421897e-04
3.488576e+02 1.019096e-04
3.986624e+02 7.706041e-05
4.485673e+02 6.092716e-05
4.999355e+02 4.954543e-05
5.481167e+02 4.184641e-05
5.980898e+02 3.586523e-05
6.199200e+02 3.370618e-05
6.377778e+02 3.210912e-05
6.577401e+02 3.048421e-05
6.778787e+02 2.898435e-05
7.000791e+02 2.748185e-05
7.500544e+02 2.457649e-05
7.973248e+02 2.228300e-05
8.997388e+02 1.834979e-05
9.998710e+02 1.547071e-05
1.200232e+03 1.152426e-05
1.239840e+03 1.093161e-05
1.499927e+03 8.036944e-06
2.000065e+03 5.051281e-06
2.479680e+03 3.573526e-06
2.999855e+03 2.628103e-06
3.999484e+03 1.653883e-06
4.999355e+03 1.154801e-06
6.199200e+03 8.171018e-07
7.000791e+03 6.719209e-07
8.997388e+03 4.487127e-07
9.998710e+03 3.773204e-07
1.100124e+04 3.127068e-07
1.239840e+04 2.460749e-07
1.499927e+04 1.679461e-07
2.000064e+04 9.444203e-08
2.479680e+04 6.143207e-08
2.999855e+04 4.194816e-08
4.999355e+04 1.509931e-08
6.199200e+04 9.824867e-09
7.000791e+04 7.701314e-09
9.998710e+04 3.776190e-09
1.239840e+05 2.455121e-09

